Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE
253351574,852412345,NAS100,1440,4.0,0.1,6.0,0.4,-301.7000000000007,58.70000000000073,-175.90000000000146,22.69999999999709,-357.7000000000007,,,,-205.3000000000029,380.0,61.29999999999927
253351998,113072085,EURUSD,30,7.0,-0.2,11.0,-0.5,0.0009399999999999409,0.011259999999999826,0.002429999999999932,,,,0.00045999999999990493,0.0013600000000000279,0.0012399999999999078,0.0020899999999999253,0.002930000000000099
253353410,171513124,USDJPY,15,6.0,-0.2,11.0,-0.3,0.3269999999999982,1.7860000000000014,0.48599999999999,0.5109999999999957,,,0.19999999999998863,0.2079999999999984,0.3289999999999793,0.0,0.5859999999999843
253353948,913034165,XAUUSD,30,6.0,-0.5,10.0,-0.1,16.110000000000127,45.67000000000007,23.0300000000002,16.330000000000382,19.580000000000382,16.600000000000364,16.710000000000036,20.440000000000055,22.190000000000055,10.329999999999927,23.370000000000346
253354053,113023381,EURUSD,30,6.0,-0.4,11.0,-0.5,-0.0002300000000001745,0.0019499999999998963,0.0012199999999999989,0.0005399999999999849,,,0.0006799999999997919,8.999999999992347e-05,0.0005799999999998029,0.00026999999999999247,0.0017599999999999838
253354604,910128124,XAUUSD,60,7.0,-0.5,11.0,-0.3,1.6600000000003092,39.5,10.210000000000036,4.710000000000036,,,8.100000000000364,5.390000000000327,6.850000000000364,7.440000000000055,12.16000000000031
253354692,113039851,EURUSD,30,6.0,-0.5,11.0,-0.5,0.00024000000000001798,0.003229999999999844,0.0017500000000001403,,,,0.0006900000000000794,0.0004700000000001925,0.0010300000000000864,0.0003799999999998249,0.0022300000000001763
253354833,111517147,EURUSD,15,7.0,-0.2,11.0,-0.5,0.0009299999999998754,0.011259999999999826,0.0024199999999998667,,,,-0.00029999999999996696,0.0004499999999998394,0.002429999999999932,0.0020999999999999908,0.0029200000000000337
253393128,110431441,EURUSD,240,5.0,-0.2,1.0,0.0,0.008999999999999897,0.012769999999999948,0.008999999999999897,0.0033199999999999896,0.0022599999999999287,0.008750000000000036,0.006669999999999954,0.006049999999999889,0.0045599999999998975,0.00042000000000008697,0.009679999999999911
253394003,822412345,US500,1440,7.0,0.4,1.0,0.0,5.100000000000364,10.400000000000546,5.100000000000364,2.0,-3.5,-12.5,-32.69999999999982,11.699999999999818,11.199999999999818,6.300000000000182,2.300000000000182
253401028,852412345,NAS100,1440,1.0,0.0,6.0,0.5,42.70000000000073,42.70000000000073,58.900000000001455,43.79999999999927,83.40000000000146,-24.700000000000728,97.20000000000073,-27.0,23.900000000001455,0.0,70.0
253408761,822412345,US500,1440,10.0,0.4,4.0,0.4,1.8999999999996362,13.800000000000182,5.0,-6.900000000000546,-5.700000000000728,-9.200000000000728,-28.400000000000546,8.0,26.299999999999272,14.200000000000728,1.5999999999994543
253432635,913034165,XAUUSD,30,8.0,-0.3,6.0,-0.2,2.0599999999999454,25.490000000000236,9.519999999999982,7.609999999999673,-1.4400000000000546,0.4800000000000182,7.9399999999996,-1.4200000000000728,1.75,5.210000000000036,10.899999999999636
253433788,112416190,EURUSD,1440,7.0,-0.2,9.0,-0.2,-0.005519999999999969,0.0033600000000000296,0.003970000000000029,,0.0034000000000000696,-0.0024500000000000632,-0.0005399999999999849,,,0.005539999999999878,0.006260000000000154
253433797,110416170,EURUSD,240,10.0,-0.2,9.0,-0.3,-0.0030000000000001137,0.0014099999999999113,-0.0009700000000001374,-0.0026700000000001722,-0.0006500000000000394,-0.0019500000000001183,-0.0024699999999999722,-0.0037400000000000766,0.00017999999999984695,0.0030400000000001537,0.0005199999999998539
253433889,172477110,USDJPY,1440,10.0,-0.1,7.0,0.5,-0.2079999999999984,0.34300000000001774,0.37000000000000455,-0.4960000000000093,-0.10900000000000887,-0.4329999999999927,-0.20300000000000296,-0.20400000000000773,0.42499999999998295,0.9159999999999968,0.28299999999998704
253434862,220138124,GBPJPY,60,7.0,0.1,4.0,-0.5,-0.5589999999999975,-0.19200000000000728,0.006000000000000227,-0.1519999999999868,-0.027999999999991587,-0.6119999999999948,-0.18499999999997385,-0.06399999999999295,-0.09499999999999886,1.0789999999999793,0.1640000000000157
253452730,822412345,US500,1440,6.0,-0.3,1.0,0.0,10.899999999999636,24.100000000000364,10.899999999999636,-1.9000000000005457,-7.700000000000728,2.7999999999992724,40.79999999999927,40.29999999999927,67.5,3.7000000000007276,7.099999999999454
253459361,110416170,EURUSD,240,9.0,-0.2,6.0,-0.5,-0.0029999999999998916,0.0007099999999999884,-0.0009099999999999664,-0.0006599999999998829,-0.0012600000000000389,-0.006429999999999936,-5.999999999994898e-05,-0.0006500000000000394,-0.0012099999999999334,0.0031799999999999606,0.0011900000000000244
253461030,852412345,NAS100,1440,1.0,0.0,5.0,-0.4,32.599999999998545,32.599999999998545,65.89999999999782,32.89999999999782,11.299999999999272,-63.400000000001455,-116.10000000000218,-65.20000000000073,-248.8000000000029,0.0,68.89999999999782
253466109,822412345,US500,1440,10.0,-0.4,1.0,0.0,6.900000000000546,19.400000000000546,6.900000000000546,5.0,3.0,17.699999999999818,34.900000000000546,55.19999999999982,58.900000000000546,6.699999999999818,2.800000000000182
253473007,852412345,NAS100,1440,4.0,0.4,8.0,0.4,-112.70000000000073,-66.40000000000146,-58.39999999999782,27.200000000000728,-47.70000000000073,,-104.29999999999927,-111.5,-151.29999999999927,128.70000000000073,71.79999999999927
253497419,170411751,USDJPY,240,7.0,-0.5,6.0,-0.1,0.09999999999999432,0.4959999999999809,0.36099999999999,0.049000000000006594,0.2880000000000109,-0.41200000000000614,0.049000000000006594,0.2839999999999918,-0.025000000000005684,0.09600000000000364,0.4329999999999927
253515205,110416170,EURUSD,240,8.0,-0.3,2.0,0.1,0.004469999999999974,0.010529999999999928,0.004930000000000101,-0.0006200000000000649,0.0026999999999999247,0.002930000000000099,-0.0006999999999999229,-0.00039999999999995595,0.0017800000000001148,0.0020000000000000018,0.006000000000000005
253518667,822412345,US500,1440,9.0,0.4,1.0,0.0,2.199999999999818,9.300000000000182,2.199999999999818,-6.399999999999636,-0.8999999999996362,1.300000000000182,-0.6000000000003638,26.899999999999636,,9.100000000000364,0.3999999999996362
253525624,120131147,GBPUSD,60,9.0,-0.3,8.0,-0.5,-0.004690000000000083,0.0014899999999999913,0.0018499999999999073,-0.0005999999999999339,0.0016799999999999038,-0.005360000000000031,-0.00021000000000004349,-0.00015999999999993797,0.0008399999999999519,0.004830000000000112,0.002650000000000041
253530161,120112134,GBPUSD,60,6.0,-0.2,8.0,-0.4,-0.00387000000000004,0.0013499999999999623,0.0025100000000000122,0.0018099999999998673,0.0014999999999998348,0.0010799999999999699,0.0009099999999999664,0.0005599999999998939,0.0005399999999999849,0.003889999999999949,0.003970000000000029
253553703,173017191,USDJPY,30,4.0,-0.1,2.0,-0.4,0.5370000000000061,1.203000000000003,0.6119999999999948,0.14799999999999613,0.5310000000000059,0.5739999999999839,0.117999999999995,0.05500000000000682,-0.025000000000005684,0.05700000000001637,0.8029999999999973
253560299,172401402,USDJPY,1440,8.0,-0.3,6.0,-0.2,-1.4499999999999886,-0.46700000000001296,-0.2709999999999866,,,-1.4350000000000023,-0.1209999999999809,,,1.488999999999976,0.12800000000001432
253560732,173031711,USDJPY,30,5.0,0.4,11.0,-0.5,-0.6500000000000057,-0.34499999999999886,-0.08700000000001751,-0.08500000000000796,-0.10000000000002274,-0.3760000000000048,-0.02400000000000091,-0.11000000000001364,-0.14100000000001955,0.6510000000000105,0.08799999999999386
253572542,170411751,USDJPY,240,9.0,0.3,11.0,-0.5,-0.75,-0.4329999999999927,-0.3089999999999975,-0.33799999999999386,-0.5270000000000152,-0.4399999999999977,-0.3269999999999982,-0.3129999999999882,-0.2950000000000159,0.7460000000000093,0.022999999999996135
253573205,913034165,XAUUSD,30,10.0,-0.5,10.0,0.5,-2.100000000000364,7.379999999999654,9.359999999999673,-3.019999999999982,-2.269999999999982,1.6299999999996544,-2.100000000000364,-2.2100000000000364,1.3799999999996544,3.7899999999999636,4.089999999999691
253577418,852412345,NAS100,1440,1.0,0.0,3.0,-0.1,30.899999999997817,30.899999999997817,40.39999999999782,-10.80000000000291,-37.0,-63.900000000001455,-145.8000000000029,,,0.0,46.19999999999709
253585261,120113183,GBPUSD,60,11.0,0.3,3.0,-0.1,0.0009999999999998899,0.0045999999999999375,0.0033000000000000806,-0.0018199999999999328,0.00026999999999999247,,-0.0013000000000000789,-0.0010099999999999554,-0.0028799999999999937,0.0038800000000001056,0.0045599999999998975
253604341,110431441,EURUSD,240,5.0,-0.3,6.0,-0.2,-0.0017899999999999583,0.00017000000000000348,0.0013000000000000789,-0.0007500000000000284,-0.0019399999999998307,,0.0015800000000001369,0.0011200000000000099,0.000560000000000116,0.0032399999999999096,0.0025800000000000267
253616051,852412345,NAS100,1440,8.0,-0.5,3.0,-0.4,-77.5,-7.400000000001455,-24.5,-19.0,-25.599999999998545,-90.79999999999927,,,-201.29999999999927,134.0,5.200000000000728
253616833,173031711,USDJPY,30,9.0,-0.1,8.0,-0.2,-0.08600000000001273,0.07899999999997931,0.3189999999999884,0.008000000000009777,0.1699999999999875,0.04800000000000182,0.0730000000000075,-0.057999999999992724,-0.14300000000000068,0.2220000000000084,0.4189999999999827
253649404,822412345,US500,1440,3.0,0.2,1.0,0.0,15.0,16.800000000000182,15.0,2.0999999999994543,,,,,14.099999999999454,7.100000000000364,12.5
253655469,110124169,EURUSD,60,8.0,-0.5,6.0,-0.4,-0.00031000000000003247,0.004170000000000007,0.0026399999999999757,-0.000280000000000058,,,-0.0009600000000000719,0.0008300000000001084,0.0018199999999999328,0.0015300000000000313,0.0030399999999999316
253655569,110124169,EURUSD,60,6.0,-0.2,11.0,-0.2,-0.0029999999999998916,0.0027400000000001867,0.003109999999999946,0.0028799999999999937,-5.999999999994898e-05,0.0017199999999999438,7.00000000000145e-05,0.0008399999999999519,0.0013199999999999878,0.003130000000000077,0.003249999999999975
253655603,172417159,USDJPY,1440,6.0,-0.5,9.0,-0.4,0.5699999999999932,1.1629999999999825,1.4000000000000057,1.0810000000000173,0.8470000000000084,0.48099999999999454,1.2940000000000111,0.5049999999999955,0.6990000000000123,0.15500000000000114,1.649000000000001
253659182,811521059,US30,15,1.0,0.0,11.0,0.5,-74.0,-74.0,131.0,142.0,210.0,237.0,138.0,145.0,158.0,0.0,116.0
253665081,910128124,XAUUSD,60,2.0,-0.1,6.0,0.5,42.20000000000027,61.850000000000364,72.84999999999991,11.679999999999836,1.849999999999909,,10.950000000000273,6.389999999999873,8.829999999999927,12.110000000000127,42.74000000000024
253669670,852412345,NAS100,1440,2.0,0.3,7.0,0.4,66.5,67.29999999999927,129.90000000000146,18.0,110.90000000000146,55.900000000001455,86.29999999999927,201.0,104.90000000000146,3.0,85.90000000000146
253673629,220138124,GBPJPY,60,11.0,-0.1,2.0,-0.5,-0.44999999999998863,0.8360000000000127,-0.41800000000000637,-0.11499999999998067,-0.5389999999999873,-0.799999999999983,-0.14599999999998658,0.10400000000001342,0.0730000000000075,1.2519999999999811,0.25200000000000955
253674594,913034165,XAUUSD,30,6.0,-0.3,1.0,0.0,32.25,45.42000000000007,32.25,10.11999999999989,29.649999999999636,23.769999999999982,9.039999999999964,27.75,22.899999999999636,2.2100000000000364,33.95999999999958
253677455,822412345,US500,1440,7.0,0.3,4.0,0.3,0.0,12.899999999999636,1.3999999999996362,-11.100000000000364,-1.6000000000003638,-4.600000000000364,-13.699999999999818,-48.899999999999636,-17.399999999999636,20.899999999999636,0.0
253678367,913034165,XAUUSD,30,6.0,-0.5,3.0,-0.1,5.070000000000164,12.509999999999764,11.920000000000073,-1.6299999999996544,2.230000000000018,8.400000000000091,-2.899999999999636,0.12000000000034561,2.230000000000018,2.9399999999996,14.600000000000364
253679685,170453108,USDJPY,240,8.0,-0.1,6.0,-0.2,-0.6999999999999886,0.6100000000000136,0.09700000000000841,0.15800000000001546,-0.002999999999985903,0.375,0.2539999999999907,-0.16200000000000614,0.0,1.2019999999999982,0.7560000000000002
253685543,852412345,NAS100,1440,5.0,0.4,5.0,-0.1,4.799999999999272,13.599999999998545,24.900000000001455,-8.299999999999272,5.0,,192.70000000000073,106.70000000000073,-9.200000000000728,19.0,37.099999999998545
