Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,TimeToMAE_s,TimeToMFE_s
216528092,120118612,GBPUSD,60,10.00000,-0.20000,7.00000,0.50000,0.00400,0.01485,0.00744,-0.00166,-0.00036,0.00001,-0.00078,0.00003,-0.00014,0.00257,0.00631,2192.00000,66212.00000
216533235,22045560,GBPJPY,240,11.00000,0.10000,4.00000,-0.20000,0.05800,0.69300,0.27900,-0.19000,0.17700,,-0.33800,-0.20100,-0.15700,0.65700,0.44900,10659.00000,80979.00000
216536402,220112052,GBPJPY,60,5.00000,-0.20000,7.00000,0.20000,0.00000,0.11200,0.89400,0.42200,,0.87000,0.16100,0.12100,0.04700,0.28900,0.97800,28019.00000,160739.00000
216541319,12011595,GBPUSD,60,6.00000,-0.10000,11.00000,-0.50000,-0.00160,0.00274,0.00275,0.00272,0.00273,0.00050,-0.00087,0.00133,0.00154,0.00282,0.00333,718.00000,17218.00000
216547358,80011095,GER40,60,10.00000,-0.50000,7.00000,-0.40000,-82.80000,5.50000,-41.30000,,-26.40000,-71.30000,-88.80000,-51.90000,-42.90000,84.30000,35.20000,3107.00000,167.00000
216576339,223011130,GBPJPY,30,11.00000,-0.50000,4.00000,-0.30000,0.14200,0.71800,0.26800,-0.14800,0.02800,,0.02200,-0.03500,-0.07400,0.57200,0.53400,13222.00000,83542.00000
216610249,220154117,GBPJPY,60,11.00000,-0.50000,4.00000,-0.20000,0.18300,0.70100,0.34100,-0.09900,-0.14000,,0.07700,-0.26600,-0.14000,0.52800,0.57800,14530.00000,84850.00000
216611783,220118191,GBPJPY,60,11.00000,-0.50000,4.00000,-0.20000,0.16100,0.69600,0.31900,-0.08700,-0.07400,,0.07400,-0.25700,-0.18600,0.55000,0.55600,14492.00000,84812.00000
216613128,910143114,XAUUSD,60,11.00000,-0.50000,8.00000,-0.10000,-26.28000,-1.86000,-11.63000,-8.90000,-16.09000,-24.61000,-1.40000,-0.32000,0.14000,26.17000,8.66000,59133.00000,11793.00000
216614753,17011586,USDJPY,60,6.00000,-0.50000,11.00000,-0.40000,-0.05500,0.61500,0.20600,-0.21300,-0.45300,,0.00600,0.18900,0.16100,0.06400,0.25900,3490.00000,7510.00000
216618959,220131160,GBPJPY,60,10.00000,0.20000,11.00000,-0.20000,-1.05200,-0.55700,-0.32300,-0.40200,-0.98400,,-0.26900,-0.22000,-0.33700,1.04500,0.06100,70733.00000,413.00000
